PostDist,Unnamed: 0,Studio,One Bed,Two Beds,Three Beds,Four Beds,Five Beds,latitude,longitude,Place,distance_from_uni
SE13,80.0,245.0,261.0,342.0,378.0,554.0,635.0,51.457212,-0.0058533000000000005,['Brockley'],12698.086854191743
SE14,83.5,231.0,292.5,366.5,479.0,586.5,1300.0,51.475590000000004,-0.038084,"['Canada Water', 'Rotherhithe', 'Surrey Quays']",9939.024076558868
SE15,83.0,248.0,280.0,382.0,502.0,534.0,808.0,51.470326899999996,-0.061523699999999994,['Crystal Palace'],8575.171328396906
SE16,80.0,281.3333333333333,338.6666666666667,410.3333333333333,547.0,728.0,894.0,51.496602200000005,-0.0498457,"['Deptford', 'Honor Oak Park']",8796.990104130678
SE17,91.0,259.0,370.0,439.0,552.0,716.0,1300.0,51.4873809,-0.0923715,['Eltham'],5977.504883254228
SE18,93.0,313.0,301.0,372.0,457.0,803.0,1300.0,51.47819819999999,0.07620529999999999,['Forest Hill'],17666.914839131034
SE19,70.0,209.0,292.0,337.0,392.0,572.0,531.0,51.417804499999995,-0.08482229999999999,['Greenwich'],10996.333047102686
SE20,64.0,208.0,296.0,309.0,435.0,803.0,1300.0,51.4125706,-0.0613966,['Herne Hill'],12451.187627808942
SE23,74.0,242.0,265.0,381.0,414.0,581.0,588.0,51.44407329999999,-0.049752,"['Kennington', 'Lambeth', 'Oval']",10676.385741609887
SE24,76.0,231.0,319.0,392.0,523.0,662.0,882.0,51.4545465,-0.0966608,['Lewisham'],7389.642521655711
SE26,89.0,218.0,370.0,294.0,440.0,554.0,646.0,51.42832019999999,-0.05557719999999999,"['New Cross Gate', 'Southfields']",11457.7617062874
SE3,67.5,285.5,328.0,365.0,476.5,597.0,1080.0,51.46771529999999,0.0175685,['Peckham'],13890.132461407135
SE4,67.0,313.0,279.0,338.0,465.0,803.0,1300.0,51.459833700000004,-0.0322047,['Sydenham'],10897.23261801308
SE8,74.0,270.0,278.0,376.0,564.0,667.0,1300.0,51.4808467,-0.026367599999999998,['Walworth'],10602.181156265455
