,postcodes,names,distance,type_major,type_minor
111,BR1,The Barrel Vault (Wetherspoon),16916,nightlife,Pub
112,BR1,Leadbelly's,10703,nightlife,Bar
113,BR1,The Canonbury Tavern,16880,nightlife,Pub
114,BR1,Founder's Arms,13783,nightlife,Pub
115,BR1,Shoreditch House,14115,nightlife,Social Club
116,BR1,Shoreditch Grind,14744,nightlife,Coffee Shop
117,BR1,The Old Brewery,7968,nightlife,Brewery
118,BR1,Sketch,16062,nightlife,Modern European Restaurant
119,BR1,German Gymnasium,16879,nightlife,Modern European Restaurant
120,BR1,London's Pride,33717,nightlife,Bar
121,BR1,Sky Pod Bar,13241,nightlife,Cocktail Bar
122,BR1,The Albert,14660,nightlife,Pub
123,BR1,B Bistro,15907,nightlife,Hookah Bar
124,BR1,The Shakespeare,15081,nightlife,Pub
125,BR1,The Hari Bar & Garden Terrace,15772,nightlife,Cocktail Bar
126,BR1,Duke Of York,15673,nightlife,Pub
127,BR1,"River Terrace, Riverside Studios",19727,nightlife,Beer Garden
128,BR1,White City House,20597,nightlife,Social Club
129,BR1,The Plough & Harrow (Wetherspoon),20040,nightlife,Pub
130,BR1,Drunch,19144,nightlife,Restaurant
131,BR1,Mikkeller Brewpub London,15618,nightlife,Bar
132,BR1,Circa,15717,nightlife,Gay Bar
133,BR1,Mikkeller Bar London,14491,nightlife,Beer Bar
134,BR1,Goose Island Brewpub,14099,nightlife,Brewery
135,BR1,Annabel's,16087,nightlife,Lounge
136,BR1,The White Hart,17552,nightlife,Pub
137,BR1,BrewDog Shoreditch,14075,nightlife,Beer Bar
138,BR1,Howling Hops Tank Bar,14658,nightlife,Bar
139,BR1,Mr Fogg’s Residence,15979,nightlife,Bar
140,BR1,The People's Park Tavern,14818,nightlife,Pub
141,BR1,The Brownswood,18588,nightlife,Pub
142,BR1,Crate Brewery,14660,nightlife,Brewery
143,BR1,Neighbourhood,14893,nightlife,Pub
144,BR1,BrewDog Shepherds Bush,20094,nightlife,Beer Bar
145,BR1,The Elysee Restaurant and Roof Garden,16066,nightlife,Greek Restaurant
146,BR1,Wolfpack,21121,nightlife,Pub
