,PostDist,studio_metric,oneBed_metric,twoBed_metric,threeBed_metric,fourBed_metric,fiveBed_metric,distance_Metic,entertainment_Metric,grocery_Metric,nightlife_Metric,outdoors_Metric,restaurants_Metric
0,BR1,0.5964612686458545,0.5851547738459026,1.0,0.9914028603567411,0.7942195215333313,0.24823794137514144,0.0007289293280858429,0.08818574254145553,0.08438685680924513,0.08240791109348808,0.015095531750286606,0.0789098234371037
1,CR0,1.0,0.5367397020157757,0.7667400457372462,0.5392248642576297,0.45829479038334975,0.24823794137514144,0.0007623215953640947,0.06235434688787739,0.05612577410939759,0.05380330700775543,0.0,0.062207755814074284
7,E1,0.6940068284556299,0.8857546654675105,0.8071591632216235,0.7881510813280537,0.7005378781410797,0.24823794137514144,0.0033235633862175665,0.1256146148236931,0.12863169692299667,0.16503979169646746,0.05825957607485721,0.1581891825265779
10,E11,0.5964612686458545,0.4577706344695114,0.724282074040141,0.7661971233399806,0.629474949911497,0.5264591744100825,0.010645954808714178,0.2460905073494051,0.23337944417803355,0.29973165284062575,0.1260662312566506,0.2743907777325987
4,E14,0.5377386127116348,0.3343574272571729,0.5058388863231511,0.6033585809393943,0.5235127814820819,0.24823794137514144,0.011225216959959674,0.25946014588894684,0.2414691156592729,0.29009460827452227,0.12361515096923634,0.2749614335054714
8,E15,0.5476550903525362,0.24967433312613177,0.3676653373086984,0.41456116188806813,0.45829479038334975,0.24823794137514144,0.02127734602705202,0.339295918928068,0.3125617290984545,0.4082411392439377,0.19465124332486947,0.39558042020620965
5,E16,0.6637909613908475,0.39211824401973094,0.7068369583544092,0.8861592030177001,0.7239238029679684,1.0,0.005823044599461421,0.1791273839413576,0.16037392718014995,0.22160840258811446,0.08120150333935547,0.2081169633589284
9,E17,0.6457479872220265,0.35454816779970166,0.5403704422990201,0.6160779920887738,0.6179046339150405,0.24823794137514144,0.019838329935750968,0.32591336202001775,0.3006866794393216,0.4348152303756637,0.1995427839883596,0.4447118599739497
11,E1W,0.8773807637136459,0.40821142048135917,0.6084761997008148,0.613657770800628,0.5066038380857129,0.27051382441225275,0.016513007858538504,0.28446559894128276,0.2667011787110334,0.3866601267105154,0.1786579497671892,0.38003813890961335
2,E2,0.5671203474955135,0.3009177433721313,0.4626393006925524,0.42578151662002583,0.7895089051466392,0.24823794137514144,0.0197563417114295,0.3268491046752072,0.30551943089438516,0.41936541021672835,0.19360418008031563,0.43252477665563904
3,E3,0.5964612686458545,1.0,0.5141734660639237,0.6018007202881153,0.45829479038334975,0.24823794137514144,0.0022405450669013005,0.12191431614294837,0.11404811488891456,0.1561495370994482,0.044566163358710054,0.14415310533417594
6,E8,0.5964612686458545,0.3991665027097605,0.6104340915792277,0.7436172849706685,0.43854112308017645,0.24823794137514144,0.004417092145638176,0.16569418987701653,0.16435790380224233,0.18378375481507195,0.06660698282760849,0.17578671031014795
16,EC1M,0.5964612686458545,0.35454816779970166,0.5141734660639237,0.5392248642576297,0.45829479038334975,0.24823794137514144,0.03556679446252076,0.39009562803076714,0.35935401081321605,0.5299248225782421,0.26321478069002,0.5962059669412942
12,EC1V,0.5691325535253244,0.2676447052547346,0.4008218405468194,0.364201150073289,0.45829479038334975,0.24823794137514144,0.03835030904784857,0.39535985178663813,0.3586453654838324,0.5602900703164542,0.2746943611924506,0.6546708297233379
14,EC2Y,0.37847274428239697,0.1425908048124734,0.23379033301572744,0.17443054641211325,0.2768348589714966,0.24823794137514144,0.03382091279542104,0.38042983849342815,0.3540675610440136,0.5438402253262838,0.2619863872531355,0.5984443126898119
18,EC4N,0.5964612686458545,0.4821760858083127,0.5801806389922466,0.7591205554386704,0.6167680314447626,0.6081904773827593,0.01299639134144304,0.11694225494737467,0.11794097559654124,0.12549342646445086,0.05366507930129749,0.1468562190580793
17,EC4R,0.6030933985187772,0.3576287009869299,0.4008218405468194,0.06056883610164894,0.45829479038334975,0.24823794137514144,0.039972545725892636,0.4074669160778215,0.3651310321221469,0.5496638424964219,0.2766552960269347,0.6528530002565278
15,EC4V,0.5964612686458545,0.35454816779970166,0.5141734660639237,0.5392248642576297,0.45829479038334975,0.24823794137514144,0.03413960391275836,0.3842017515159385,0.3568727455036015,0.5295052995359788,0.259794093855349,0.5839331350225618
19,HA9,0.5964612686458545,0.4271285350890319,0.6995567132257179,0.5858550316678396,0.6259643467164746,0.5281773848966345,0.0061312658300850115,0.0761827532997921,0.05616937032691516,0.052056082361115086,0.016703291855775376,0.08159522984261527
20,KT1,0.6508142410526807,0.3064176937977636,0.451350066285577,0.5068783799786838,0.35984244974884316,0.24823794137514144,0.02412188249632045,0.3040956521547963,0.3018256676002573,0.4608448206382507,0.22086919040008077,0.5102643730793194
22,N1,0.5964612686458545,0.459918200408998,0.7371514216771562,0.811257982405216,0.45829479038334975,0.44180768362866024,0.009605209035831373,0.1681902829642212,0.17861028177517604,0.240920505477401,0.10476143421593473,0.2345539691462399
28,N10,0.801204199162638,0.40913065212451716,0.65380554683095,0.6538078646092583,0.5173051250664018,0.24823794137514144,0.02527978836871624,0.28279335473469713,0.28253063808431955,0.4024358731229948,0.20438584134374335,0.4705669998046025
29,N15,0.7831134874271612,0.4577706344695114,0.6830072900208064,0.7521597596093653,0.45829479038334975,0.45372159714604554,0.014080006264532843,0.18898854578544447,0.18808574267862502,0.2537989708866608,0.1225703907169852,0.27306925656739944
23,N2,0.5964612686458545,0.4821760858083127,0.8445420204694412,0.0,1.0000000000000002,0.24823794137514144,0.013448900838960966,0.16343096870622056,0.16948303813823565,0.20367778093852748,0.09577954817407405,0.22986269109053833
30,N20,0.5331207024437838,0.24081717857681303,0.3450404286981446,0.338802926935741,0.27070698117384695,0.06850941924873633,0.06177297913783916,0.3429676649382206,0.3225487859420889,0.5083543522735231,0.2753280803151663,0.716816325624864
24,N3,0.5964612686458545,0.4370263442800434,0.6284817777320544,0.8335316189255971,0.45829479038334975,0.24823794137514144,0.0028782492257512747,0.07512999873355045,0.08417692660991713,0.09311018655201794,0.019931643851709174,0.09980611920727475
25,N5,0.8357325058715568,0.45563674729397063,0.7923482768601928,0.7919197657649785,0.4694458652591098,0.38975531596384844,0.01009613963127651,0.12270919664970595,0.13861521197134333,0.15925571776695427,0.06699135241904733,0.17930416808711072
26,N6,0.5964612686458545,0.34402369367463503,0.47158596043853435,0.4636333672096026,0.31313488178859916,0.16745647825183285,0.021260604002295316,0.2691232435617281,0.26701826227718184,0.39680780049532427,0.19525204997462728,0.43155524334170225
27,N7,0.5964612686458545,0.4410718039867745,0.5931401370986766,0.44836520995832896,0.07519381346270078,0.2073141692809044,0.019268569735279354,0.21156638882853077,0.21411056335448406,0.27318351653962725,0.13956003197041802,0.31649343558068155
21,N8,0.9836671177266576,0.5287996704892801,0.5711746027396323,0.7825579384296092,0.6390070513019551,0.24823794137514144,0.011120499425048325,0.15567519392011728,0.16462320705571462,0.20043192472319407,0.09100022654350859,0.2168317355832516
31,NW1,0.5964612686458545,0.45884269938650313,0.6173603972566233,0.7197941123351996,0.47194587291213497,0.2821876616865776,0.028275850566088185,0.1806714211099655,0.17757743264321466,0.19860595464158257,0.10872557974025102,0.24343139731952876
