,Place,Studio,One Bed,Two Beds,Three Beds,Four Beds,Five Beds,PostDist,latitude,longitude
62,West Hampstead,285.0,361.0,454.0,635.0,885.0,1450.0,NW6,51.5195418,-0.1240786
63,Willesden,313.0,273.0,438.0,456.0,714.0,1300.0,NW10,51.5195418,-0.1240786
64,Anerley,208.0,296.0,309.0,435.0,803.0,1300.0,SE20,51.5195418,-0.1240786
65,Bermondsey,313.0,358.0,508.0,503.0,661.0,1300.0,SE1,51.5195418,-0.1240786
66,Blackheath,258.0,335.0,383.0,519.0,651.0,1300.0,SE3,51.5195418,-0.1240786
67,Brockley,313.0,279.0,338.0,465.0,803.0,1300.0,SE4,51.5195418,-0.1240786
68,Canada Water,313.0,345.0,413.0,550.0,749.0,691.0,SE16,51.5195418,-0.1240786
69,Charlton,313.0,321.0,347.0,434.0,543.0,860.0,SE3,51.5195418,-0.1240786
70,Crystal Palace,209.0,292.0,337.0,392.0,572.0,531.0,SE19,51.5195418,-0.1240786
71,Deptford,227.0,270.0,386.0,623.0,531.0,1300.0,SE8,51.5195418,-0.1240786
72,Elephant and Castle,340.0,399.0,484.0,581.0,757.0,1300.0,SE1,51.5195418,-0.1240786
73,Eltham,313.0,335.0,477.5,433.0,803.0,958.0,SE9,51.5195418,-0.1240786
74,Forest Hill,242.0,265.0,381.0,414.0,581.0,588.0,SE23,51.5195418,-0.1240786
75,Greenwich,313.0,333.0,404.0,545.0,747.0,1300.0,SE10,51.5195418,-0.1240786
76,Herne Hill,231.0,319.0,392.0,523.0,662.0,882.0,SE24,51.5195418,-0.1240786
77,Honor Oak Park,313.0,286.0,366.0,505.0,803.0,1300.0,SE8,51.5195418,-0.1240786
78,Kennington,277.0,350.0,423.0,534.0,666.0,1300.0,SE11,51.5195418,-0.1240786
79,Lambeth,277.0,350.0,428.0,535.0,726.0,1300.0,SE11,51.5195418,-0.1240786
80,Lewisham,245.0,261.0,342.0,378.0,554.0,635.0,SE13,51.5195418,-0.1240786
81,New Cross Gate,230.0,304.0,367.0,473.0,572.0,1300.0,SE14,51.5195418,-0.1240786
82,Oval,323.0,335.0,400.0,438.0,703.0,1300.0,SE11,51.5195418,-0.1240786
83,Peckham,248.0,280.0,382.0,502.0,534.0,808.0,SE15,51.5195418,-0.1240786
84,Rotherhithe,288.0,325.0,401.0,544.0,645.0,1300.0,SE16,51.5195418,-0.1240786
85,Shad Thames,313.0,453.0,602.0,944.0,2102.0,1300.0,SE1,51.5195418,-0.1240786
86,Southfields,232.0,281.0,366.0,485.0,601.0,1300.0,SE14,51.5195418,-0.1240786
87,Southwark,331.0,453.0,550.0,1181.0,770.0,1300.0,SE1,51.5195418,-0.1240786
88,Surrey Quays,243.0,346.0,417.0,547.0,790.0,691.0,SE16,51.5195418,-0.1240786
89,Sydenham,218.0,370.0,294.0,440.0,554.0,646.0,SE26,51.5195418,-0.1240786
90,Vauxhall,269.0,369.0,461.0,553.0,686.0,1300.0,SE1,51.5195418,-0.1240786
91,Walworth,259.0,370.0,439.0,552.0,716.0,1300.0,SE17,51.5195418,-0.1240786
92,Waterloo,330.0,477.0,555.0,815.0,894.0,1300.0,SE1,51.5195418,-0.1240786
93,Woolwich,313.0,301.0,372.0,457.0,803.0,1300.0,SE18,51.5195418,-0.1240786
94,Morden,313.0,370.0,477.5,389.0,803.0,1300.0,SM4,51.5195418,-0.1240786
95,Balham,251.0,367.0,430.0,541.0,671.0,1088.0,SW12,51.5195418,-0.1240786
96,Barnes,313.0,334.0,401.0,768.0,1230.0,1341.0,SW13,51.5195418,-0.1240786
97,Battersea,313.0,352.0,491.0,561.0,692.0,1512.0,SW11,51.5195418,-0.1240786
98,Belgravia,443.0,620.0,1232.0,2222.0,3209.0,6051.0,SW1,51.5195418,-0.1240786
99,Brixton,317.0,346.0,395.0,540.0,811.0,855.0,SW9,51.5195418,-0.1240786
100,Chelsea,347.0,477.0,811.0,1131.0,2235.0,4011.0,SW3,51.5195418,-0.1240786
101,Clapham,267.0,355.0,462.0,566.0,783.0,1300.0,SW11,51.5195418,-0.1240786
102,Colliers Wood,313.0,319.0,371.0,483.0,530.0,1300.0,SW19,51.5195418,-0.1240786
103,Earl's Court,313.0,443.0,592.0,892.0,1381.0,1729.0,SW5,51.5195418,-0.1240786
104,Earlsfield,313.0,323.0,411.0,518.0,710.0,1300.0,SW18,51.5195418,-0.1240786
105,East Sheen,313.0,316.0,379.0,438.0,773.0,1453.0,SW14,51.5195418,-0.1240786
106,Fulham Broadway,299.0,418.0,516.0,713.0,1081.0,1437.0,SW6,51.5195418,-0.1240786
107,Gloucester Road,379.0,517.0,898.0,1480.0,2216.0,4137.0,SW7,51.5195418,-0.1240786
108,Kensington,353.0,514.0,917.0,1445.0,2132.0,1300.0,SW7,51.5195418,-0.1240786
109,Knightsbridge,363.0,526.0,1005.0,1543.0,2237.0,3807.0,SW7,51.5195418,-0.1240786
110,Parsons Green,375.0,399.0,602.0,695.0,1377.0,1596.0,SW6,51.5195418,-0.1240786
111,Pimlico,307.0,415.0,549.0,761.0,1163.0,1300.0,SW1V,51.5195418,-0.1240786
112,Putney,254.0,357.0,442.0,563.0,679.0,1271.0,SW15,51.5195418,-0.1240786
113,Sloane Square,692.0,534.0,956.0,1792.0,2891.0,4100.0,SW1W,51.5195418,-0.1240786
114,South Kensington,380.0,537.0,925.0,1528.0,2227.0,3811.0,SW7,51.5195418,-0.1240786
115,South Wimbledon,277.0,336.0,413.0,594.0,609.0,583.0,SW19,51.5195418,-0.1240786
116,St James's Park,442.0,431.0,748.0,874.0,803.0,14500.0,SW1H,51.5195418,-0.1240786
117,Streatham,215.0,295.0,351.0,446.0,537.0,1300.0,SW16,51.5195418,-0.1240786
118,Tooting,313.0,306.0,370.0,494.0,620.0,783.0,SW17,51.5195418,-0.1240786
119,Victoria,1257.0,537.0,1032.0,2007.0,2891.0,4100.0,SW1W,51.5195418,-0.1240786
120,Wandsworth,310.0,348.0,476.0,702.0,761.0,787.0,SW18,51.5195418,-0.1240786
121,West Brompton,301.0,439.0,525.0,789.0,1073.0,1320.0,SW6,51.5195418,-0.1240786
